method,mode,nulls,rmse,test_size,time,test_size_p
SVD,C,0.6,2.2395282815567294,129,0.035366058349609375,0.2
classic,C,0.6,1.4128771482723619,194,0.011981725692749023,0.3
word2vec,C,0.6,2.664396243006854,194,0.006302595138549805,0.3
SVD,C,0.6,2.560996921527896,194,0.002460002899169922,0.3
classic,C,0.6,1.3319563683935112,259,0.009447097778320312,0.4
word2vec,C,0.6,2.6500619513436736,259,0.007245063781738281,0.4
SVD,C,0.6,2.645409234968253,259,0.002460002899169922,0.4
classic,C,0.6,1.433319369606056,324,0.02811741828918457,0.5
word2vec,C,0.6,2.6122558579280786,324,0.0026504993438720703,0.5
SVD,C,0.6,2.7086853231198806,324,0.0024890899658203125,0.5
classic,C,0.6,1.5018919643333493,389,0.019784927368164062,0.6
word2vec,C,0.6,2.7794783828353298,389,0.016967296600341797,0.6
SVD,C,0.6,2.893861899344186,389,0.015824079513549805,0.6
classic,C,0.6,24909115913105.7,454,0.015372753143310547,0.7
word2vec,C,0.6,3.0674361265745893,454,0.019855499267578125,0.7
SVD,C,0.6,3.0608095332140364,454,0.0024852752685546875,0.7
classic,C,0.6,28074169870135.086,519,0.0075225830078125,0.8
word2vec,C,0.6,3.1643103229238503,519,0.07793760299682617,0.8
SVD,C,0.6,3.307215247571155,519,0.002507448196411133,0.8
classic,C,0.6,3.249086948120915,584,0.0076754093170166016,0.9
word2vec,C,0.6,3.5184008355635403,584,0.0673677921295166,0.9
SVD,C,0.6,3.424522248710398,584,0.002629995346069336,0.9
classic,C,0.7,1.122892698604221,64,0.007782697677612305,0.1
classic,C,0.7,1.122892698604221,64,0.008151054382324219,0.1
classic,C,0.7,1.122892698604221,64,0.007309913635253906,0.1
classic,C,0.7,1.122892698604221,64,0.007627964019775391,0.1
classic,B,0.2,1.194835956892331,64,0.008178234100341797,0.1
word2vec,B,0.2,2.166986774544028,64,0.04277443885803223,0.1
SVD,B,0.2,1.8729445093177195,64,0.0012464523315429688,0.1
classic,B,0.2,1.035533135872199,129,0.008200883865356445,0.2
word2vec,B,0.2,1.997876388392685,129,0.03911471366882324,0.2
SVD,B,0.2,1.9382749406559312,129,0.001203775405883789,0.2
classic,B,0.2,1.3238682893511922,194,0.010220527648925781,0.3
word2vec,B,0.2,2.394880716409388,194,0.011500358581542969,0.3
SVD,B,0.2,2.423566373278431,194,0.0024945735931396484,0.3
classic,B,0.2,1.265078949984487,259,0.011947393417358398,0.4
word2vec,B,0.2,2.439774839394711,259,0.022208213806152344,0.4
SVD,B,0.2,2.4966012419591976,259,0.007880210876464844,0.4
classic,B,0.2,1.3467506037137542,324,0.008827686309814453,0.5
word2vec,B,0.2,2.592423866481351,324,0.010102987289428711,0.5
SVD,B,0.2,2.5814522626705085,324,0.002476215362548828,0.5
classic,B,0.2,1.367490606964533,389,0.029654502868652344,0.6
word2vec,B,0.2,2.637780036248827,389,0.0076596736907958984,0.6
SVD,B,0.2,2.5181096250377113,389,0.0025200843811035156,0.6
classic,B,0.2,51434530859111.17,454,0.006167173385620117,0.7
word2vec,B,0.2,2.9825240536521087,454,0.0026531219482421875,0.7
SVD,B,0.2,2.7550929773481974,454,0.002431154251098633,0.7
classic,B,0.2,18065600800056.832,519,0.010636091232299805,0.8
word2vec,B,0.2,2.983008164371487,519,0.06473040580749512,0.8
SVD,B,0.2,2.8888706628411094,519,0.0027048587799072266,0.8
classic,B,0.2,5.2512140296373575,584,0.011298418045043945,0.9
word2vec,B,0.2,3.751887049317783,584,0.0492398738861084,0.9
SVD,B,0.2,3.0584914361568,584,0.0025987625122070312,0.9
classic,B,0.3,1.170910190657862,64,0.008109092712402344,0.1
word2vec,B,0.3,2.0903378559951937,64,0.011031627655029297,0.1
SVD,B,0.3,1.9676722691078605,64,0.012104034423828125,0.1
classic,B,0.3,1.071128599663882,129,0.009515047073364258,0.2
word2vec,B,0.3,2.1500859305245603,129,0.049393653869628906,0.2
SVD,B,0.3,2.140231243872481,129,0.016608715057373047,0.2
classic,B,0.3,1.3845712388248057,194,0.01100921630859375,0.3
word2vec,B,0.3,2.500742525448651,194,0.007384538650512695,0.3
SVD,B,0.3,2.472408334181886,194,0.002529621124267578,0.3
classic,B,0.3,1.3009463543915096,259,0.013421058654785156,0.4
word2vec,B,0.3,2.565207910928631,259,0.006141185760498047,0.4
SVD,B,0.3,2.5003802216900324,259,0.0026390552520751953,0.4
classic,B,0.3,1.4435603071211338,324,0.007133007049560547,0.5
word2vec,B,0.3,2.618985388872089,324,0.002669811248779297,0.5
SVD,B,0.3,2.5686834432785512,324,0.0025033950805664062,0.5
classic,B,0.3,1.5015354155846958,389,0.014222383499145508,0.6
word2vec,B,0.3,2.6987383231860647,389,0.025789260864257812,0.6
SVD,B,0.3,2.693113359370656,389,0.0025882720947265625,0.6
classic,B,0.3,72008700997709.28,454,0.011362075805664062,0.7
word2vec,B,0.3,2.9167944583233405,454,0.050788164138793945,0.7
SVD,B,0.3,2.9507053971195636,454,0.00249481201171875,0.7
classic,B,0.3,95069021572602.67,519,0.007675647735595703,0.8
word2vec,B,0.3,3.0129593622462436,519,0.06363821029663086,0.8
SVD,B,0.3,2.995995507425877,519,0.002498626708984375,0.8
classic,B,0.3,4.498294759939492,584,0.020760774612426758,0.9
word2vec,B,0.3,3.037294785413776,584,0.0025272369384765625,0.9
SVD,B,0.3,2.9519408207855924,584,0.0023984909057617188,0.9
classic,B,0.4,1.1602103838405484,64,0.01107025146484375,0.1
word2vec,B,0.4,1.977570352338052,64,0.03413248062133789,0.1
SVD,B,0.4,2.145917907795343,64,0.03807425498962402,0.1
classic,B,0.4,1.0218982433959185,129,0.008466482162475586,0.2
word2vec,B,0.4,2.038562718296649,129,0.015387535095214844,0.2
SVD,B,0.4,2.121925710833393,129,0.04353928565979004,0.2
classic,B,0.4,1.3870641815644615,194,0.029386520385742188,0.3
word2vec,B,0.4,2.4487925376376753,194,0.006423473358154297,0.3
SVD,B,0.4,2.523682627052562,194,0.004686594009399414,0.3
classic,B,0.4,1.3690855385863931,259,0.008761167526245117,0.4
word2vec,B,0.4,2.524542088373771,259,0.06446003913879395,0.4
SVD,B,0.4,2.54404034040036,259,0.0024666786193847656,0.4
classic,B,0.4,1.467645328954931,324,0.019187450408935547,0.5
word2vec,B,0.4,2.5536417111951337,324,0.017244815826416016,0.5
SVD,B,0.4,2.5598649686181023,324,0.0026671886444091797,0.5
classic,B,0.4,1.727175015230066,389,0.02957296371459961,0.6
word2vec,B,0.4,2.6648879131763823,389,0.0518951416015625,0.6
SVD,B,0.4,2.6035742517066467,389,0.0024826526641845703,0.6
classic,B,0.4,59778259994828.29,454,0.007352590560913086,0.7
word2vec,B,0.4,3.063724395387343,454,0.0868372917175293,0.7
SVD,B,0.4,2.914345633142327,454,0.002436399459838867,0.7
classic,B,0.4,827375957792.2606,519,0.006629228591918945,0.8
word2vec,B,0.4,3.141586246064931,519,0.07652950286865234,0.8
SVD,B,0.4,2.9435698905561223,519,0.03907346725463867,0.8
classic,B,0.4,6.094115273099895,584,0.005715608596801758,0.9
word2vec,B,0.4,2.8554525423805255,584,0.05852508544921875,0.9
SVD,B,0.4,2.9569382558435073,584,0.031243085861206055,0.9
classic,B,0.5,1.217192529519927,64,0.03741121292114258,0.1
word2vec,B,0.5,2.297813450645031,64,0.0446929931640625,0.1
SVD,B,0.5,1.983220666759762,64,0.024892330169677734,0.1
classic,B,0.5,1.0608214030210283,129,0.011220693588256836,0.2
word2vec,B,0.5,2.1501896475576276,129,0.004423379898071289,0.2
SVD,B,0.5,2.0126452158644557,129,0.0025267601013183594,0.2
classic,B,0.5,1.3788481778973556,194,0.07654094696044922,0.3
word2vec,B,0.5,2.5011938794324893,194,0.003528118133544922,0.3
SVD,B,0.5,2.4368434926938978,194,0.002588510513305664,0.3
classic,B,0.5,1.325746114676984,259,0.044197797775268555,0.4
word2vec,B,0.5,2.4910181186456204,259,0.007981300354003906,0.4
SVD,B,0.5,2.4344727378853714,259,0.02180624008178711,0.4
classic,B,0.5,1.4396322711985643,324,0.04485917091369629,0.5
word2vec,B,0.5,2.5251705155076434,324,0.002244710922241211,0.5
SVD,B,0.5,2.4967244227654475,324,0.0014421939849853516,0.5
classic,B,0.5,8742949337931.838,389,0.03498649597167969,0.6
word2vec,B,0.5,2.8106942654729075,389,0.005659341812133789,0.6
SVD,B,0.5,2.682556513059638,389,0.003797292709350586,0.6
classic,B,0.5,31817580893435.76,454,0.01349020004272461,0.7
word2vec,B,0.5,3.158391473765481,454,0.0026612281799316406,0.7
SVD,B,0.5,3.153818945082094,454,0.0025060176849365234,0.7
classic,B,0.5,34141674637512.152,519,0.010491609573364258,0.8
word2vec,B,0.5,3.2421966305377827,519,0.04532480239868164,0.8
SVD,B,0.5,3.2339744233362464,519,0.008428096771240234,0.8
classic,B,0.5,6.285633079677881,584,0.006004810333251953,0.9
word2vec,B,0.5,3.4506598705836535,584,0.021608352661132812,0.9
SVD,B,0.5,3.25944015731049,584,0.0039234161376953125,0.9
classic,A,0.5,24605221387.818363,64,0.010843515396118164,0.1
word2vec,A,0.5,2.0510688638533017,64,0.05245065689086914,0.1
SVD,A,0.5,1.9527424121137005,64,0.00266265869140625,0.1
classic,A,0.5,32616120407.26501,129,0.008870363235473633,0.2
word2vec,A,0.5,1.9392594472785227,129,0.007709026336669922,0.2
SVD,A,0.5,2.0841777453479624,129,0.0024635791778564453,0.2
classic,A,0.5,116574599473.8584,194,0.0949392318725586,0.3
word2vec,A,0.5,2.535645251684172,194,0.002790689468383789,0.3
SVD,A,0.5,2.4664626912924947,194,0.002565145492553711,0.3
classic,A,0.5,131859060039.49515,259,0.029474496841430664,0.4
word2vec,A,0.5,2.61157862076272,259,0.012825965881347656,0.4
